net,length_um
_0466_,34.3µm
_0793_,34.22µm
net103,34µm
net37,33.65µm
_0867_,33.64µm
_0953_,33.58µm
_1467_,33.56µm
_0721_,33.46µm
net254,33.4µm
_0804_,33.38µm
my_sum_sub.cm_mant\[1\],33.26µm
net113,32.98µm
_0703_,32.97µm
_0728_,32.9µm
_1479_,31.88µm
net106,31.84µm
net211,31.83µm
my_divider.divisor_reg\[5\],31.62µm
_1478_,31.24µm
_0416_,31.16µm
_0707_,31.12µm
_0471_,31.1µm
my_sum_sub.al_ma\[0\],31.08µm
net182,31.06µm
_0379_,31.04µm
_0779_,30.96µm
_0836_,30.74µm
_1140_,30.68µm
net196,30.58µm
_0415_,30.32µm
_0382_,30.28µm
_1017_,30.28µm
_1473_,30.16µm
_0810_,30.06µm
my_mul.reg1en.q\[0\],29.98µm
_0905_,29.94µm
my_divider.remainder_reg\[4\],29.84µm
_0748_,29.785µm
my_sum_sub.cm_exp\[2\],29.52µm
_1463_,29.4µm
my_sum_sub.al_ma\[5\],29.38µm
_0776_,29.36µm
net98,29.34µm
_0412_,29.26µm
op_reg\[2\],29.24µm
_0910_,29.14µm
_0887_,29.04µm
_1437_,28.8µm
net284,28.68µm
_1492_,28.67µm
_0453_,28.4µm
_0360_,28.36µm
_0426_,28.36µm
_0641_,28.32µm
net279,28.28µm
net34,28.11µm
_0736_,28.08µm
net213,28.075µm
_0359_,27.98µm
_0725_,27.98µm
_0929_,27.8µm
_0522_,27.71µm
_0373_,27.69µm
my_divider.remainder_reg\[2\],27.68µm
_0633_,27.66µm
_0369_,27.64µm
_0844_,27.6µm
_0912_,27.54µm
_1098_,27.52µm
my_sum_sub.al_mb\[6\],27.18µm
my_sum_sub.al_ma\[1\],26.775µm
_1065_,26.61µm
_0734_,26.6µm
_1136_,26.46µm
_0680_,26.36µm
_0469_,26.22µm
my_sum_sub.cm_exp\[5\],26.22µm
my_divider.counter\[0\],26.2µm
_0000_,26.18µm
_1067_,26.06µm
_0418_,26.04µm
_0705_,25.94µm
my_sum_sub.al_ma\[4\],25.9µm
net168,25.6µm
net207,25.6µm
_0885_,25.585µm
net239,25.58µm
net18,25.5µm
_0538_,25.46µm
net4,25.4µm
net229,25.4µm
_0425_,25.365µm
net194,25.36µm
net68,25.3µm
_1150_,24.91µm
_0862_,24.86µm
_0674_,24.8µm
my_sum_sub.al_ma\[2\],24.78µm
my_sum_sub.al_ma\[7\],24.76µm
_0827_,24.72µm
_0361_,24.62µm
net112,24.5µm
_0723_,24.46µm
_0611_,24.395µm
_1488_,24.24µm
div_quotient\[4\],24.14µm
_0499_,24.1µm
_0855_,24.1µm
my_sum_sub.cm_mant\[0\],23.955µm
net83,23.92µm
net173,23.8µm
my_divider.remainder_reg\[7\],23.68µm
my_sum_sub.al_exp\[5\],23.56µm
_0755_,23.52µm
_0438_,23.46µm
_1086_,23.44µm
my_divider.divisor_reg\[7\],23.44µm
my_sum_sub.operation,23.44µm
net209,23.39µm
_1380_,23.38µm
