Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_62_27,VGND,li1,18.1700,179.5200,0.000000
FILLER_62_24,VGND,li1,17.2500,179.5200,0.000000
FILLER_62_21,VGND,li1,15.8700,179.5200,0.000000
FILLER_62_18,VGND,li1,14.4900,179.5200,0.000000
FILLER_62_15,VGND,li1,13.1100,179.5200,0.000000
FILLER_62_12,VGND,li1,11.7300,179.5200,0.000000
FILLER_62_9,VGND,li1,10.3500,179.5200,0.000000
FILLER_62_6,VGND,li1,8.9700,179.5200,0.000000
FILLER_62_3,VGND,li1,7.5900,179.5200,0.000000
FILLER_61_367,VGND,li1,175.0300,179.5200,0.000000
FILLER_61_364,VGND,li1,173.6500,179.5200,0.000000
FILLER_61_361,VGND,li1,172.2700,179.5200,0.000000
FILLER_61_358,VGND,li1,170.8900,179.5200,0.000000
FILLER_61_355,VGND,li1,169.5100,179.5200,0.000000
FILLER_61_352,VGND,li1,168.1300,179.5200,0.000000
FILLER_61_349,VGND,li1,166.7500,179.5200,0.000000
FILLER_61_346,VGND,li1,165.3700,179.5200,0.000000
FILLER_61_343,VGND,li1,163.9900,179.5200,0.000000
FILLER_61_340,VGND,li1,162.6100,179.5200,0.000000
FILLER_61_337,VGND,li1,161.2300,179.5200,0.000000
FILLER_61_335,VGND,li1,159.8500,179.5200,0.000000
FILLER_61_332,VGND,li1,158.9300,179.5200,0.000000
FILLER_61_329,VGND,li1,157.5500,179.5200,0.000000
FILLER_61_326,VGND,li1,156.1700,179.5200,0.000000
FILLER_61_323,VGND,li1,154.7900,179.5200,0.000000
FILLER_61_320,VGND,li1,153.4100,179.5200,0.000000
FILLER_61_317,VGND,li1,152.0300,179.5200,0.000000
FILLER_61_314,VGND,li1,150.6500,179.5200,0.000000
FILLER_61_311,VGND,li1,149.2700,179.5200,0.000000
FILLER_61_308,VGND,li1,147.8900,179.5200,0.000000
FILLER_61_305,VGND,li1,146.5100,179.5200,0.000000
FILLER_61_302,VGND,li1,145.1300,179.5200,0.000000
FILLER_61_299,VGND,li1,143.7500,179.5200,0.000000
FILLER_61_296,VGND,li1,142.3700,179.5200,0.000000
FILLER_61_293,VGND,li1,140.9900,179.5200,0.000000
FILLER_61_290,VGND,li1,139.6100,179.5200,0.000000
FILLER_61_287,VGND,li1,138.2300,179.5200,0.000000
FILLER_61_284,VGND,li1,136.8500,179.5200,0.000000
FILLER_61_281,VGND,li1,135.4700,179.5200,0.000000
FILLER_61_277,VGND,li1,133.6300,179.5200,0.000000
FILLER_61_274,VGND,li1,132.2500,179.5200,0.000000
FILLER_61_271,VGND,li1,130.8700,179.5200,0.000000
FILLER_61_268,VGND,li1,129.4900,179.5200,0.000000
FILLER_61_265,VGND,li1,128.1100,179.5200,0.000000
FILLER_61_262,VGND,li1,126.7300,179.5200,0.000000
FILLER_61_259,VGND,li1,125.3500,179.5200,0.000000
FILLER_61_256,VGND,li1,123.9700,179.5200,0.000000
FILLER_61_253,VGND,li1,122.5900,179.5200,0.000000
FILLER_61_250,VGND,li1,121.2100,179.5200,0.000000
FILLER_61_247,VGND,li1,119.8300,179.5200,0.000000
FILLER_61_244,VGND,li1,118.4500,179.5200,0.000000
FILLER_61_241,VGND,li1,117.0700,179.5200,0.000000
FILLER_61_238,VGND,li1,115.6900,179.5200,0.000000
FILLER_61_235,VGND,li1,114.3100,179.5200,0.000000
FILLER_61_222,VGND,li1,108.1000,179.5200,0.000000
FILLER_61_219,VGND,li1,106.9500,179.5200,0.000000
FILLER_61_204,VGND,li1,99.5900,179.5200,0.000000
FILLER_61_201,VGND,li1,98.6700,179.5200,0.000000
FILLER_61_198,VGND,li1,97.2900,179.5200,0.000000
FILLER_61_195,VGND,li1,95.9100,179.5200,0.000000
FILLER_61_187,VGND,li1,91.7700,179.5200,0.000000
FILLER_61_179,VGND,li1,88.0900,179.5200,0.000000
FILLER_61_166,VGND,li1,82.3400,179.5200,0.000000
FILLER_61_163,VGND,li1,81.1900,179.5200,0.000000
FILLER_61_160,VGND,li1,79.8100,179.5200,0.000000
FILLER_61_157,VGND,li1,78.4300,179.5200,0.000000
FILLER_61_146,VGND,li1,72.9100,179.5200,0.000000
FILLER_61_143,VGND,li1,71.9900,179.5200,0.000000
FILLER_61_140,VGND,li1,70.6100,179.5200,0.000000
FILLER_61_127,VGND,li1,64.6300,179.5200,0.000000
FILLER_61_119,VGND,li1,60.4900,179.5200,0.000000
FILLER_61_116,VGND,li1,59.5700,179.5200,0.000000
FILLER_61_113,VGND,li1,58.1900,179.5200,0.000000
FILLER_61_110,VGND,li1,56.5800,179.5200,0.000000
FILLER_61_102,VGND,li1,53.1300,179.5200,0.000000
FILLER_61_99,VGND,li1,51.7500,179.5200,0.000000
FILLER_61_81,VGND,li1,43.0100,179.5200,0.000000
FILLER_61_57,VGND,li1,31.9700,179.5200,0.000000
FILLER_61_54,VGND,li1,30.8200,179.5200,0.000000
FILLER_61_51,VGND,li1,29.6700,179.5200,0.000000
FILLER_61_42,VGND,li1,25.3000,179.5200,0.000000
FILLER_61_33,VGND,li1,21.1600,179.5200,0.000000
FILLER_61_30,VGND,li1,20.0100,179.5200,0.000000
FILLER_61_27,VGND,li1,18.6300,179.5200,0.000000
FILLER_61_24,VGND,li1,17.2500,179.5200,0.000000
FILLER_61_21,VGND,li1,15.8700,179.5200,0.000000
FILLER_61_18,VGND,li1,14.4900,179.5200,0.000000
FILLER_61_15,VGND,li1,13.1100,179.5200,0.000000
FILLER_61_12,VGND,li1,11.7300,179.5200,0.000000
FILLER_61_9,VGND,li1,10.3500,179.5200,0.000000
FILLER_61_6,VGND,li1,8.9700,179.5200,0.000000
FILLER_61_3,VGND,li1,7.5900,179.5200,0.000000
FILLER_60_368,VGND,li1,175.2600,174.0800,0.000000
FILLER_60_365,VGND,li1,174.1100,174.0800,0.000000
FILLER_60_363,VGND,li1,172.7300,174.0800,0.000000
FILLER_60_360,VGND,li1,171.8100,174.0800,0.000000
FILLER_60_357,VGND,li1,170.4300,174.0800,0.000000
FILLER_60_354,VGND,li1,169.0500,174.0800,0.000000
FILLER_60_351,VGND,li1,167.6700,174.0800,0.000000
FILLER_60_348,VGND,li1,166.2900,174.0800,0.000000
FILLER_60_345,VGND,li1,164.9100,174.0800,0.000000
FILLER_60_342,VGND,li1,163.5300,174.0800,0.000000
FILLER_60_339,VGND,li1,162.1500,174.0800,0.000000
FILLER_60_336,VGND,li1,160.7700,174.0800,0.000000
FILLER_60_333,VGND,li1,159.3900,174.0800,0.000000
FILLER_60_330,VGND,li1,158.0100,174.0800,0.000000
FILLER_60_327,VGND,li1,156.6300,174.0800,0.000000
FILLER_60_324,VGND,li1,155.2500,174.0800,0.000000
FILLER_60_321,VGND,li1,153.8700,174.0800,0.000000
FILLER_60_318,VGND,li1,152.4900,174.0800,0.000000
FILLER_60_315,VGND,li1,151.1100,174.0800,0.000000
FILLER_60_312,VGND,li1,149.7300,174.0800,0.000000
FILLER_60_309,VGND,li1,148.3500,174.0800,0.000000
FILLER_60_307,VGND,li1,146.9700,174.0800,0.000000
FILLER_60_304,VGND,li1,146.0500,174.0800,0.000000
FILLER_60_301,VGND,li1,144.6700,174.0800,0.000000
FILLER_60_298,VGND,li1,143.2900,174.0800,0.000000
FILLER_60_295,VGND,li1,141.9100,174.0800,0.000000
FILLER_60_292,VGND,li1,140.5300,174.0800,0.000000
FILLER_60_289,VGND,li1,139.1500,174.0800,0.000000
FILLER_60_286,VGND,li1,137.7700,174.0800,0.000000
FILLER_60_283,VGND,li1,136.3900,174.0800,0.000000
